Artist,Song,Year,Genre,Duration_mins,Popularity,Danceability,Valence
Missy Elliott,One Minute Man (feat. Ludacris),2001,"hip hop, pop, R&B",4.22,57,0.622,0.57
Mary J. Blige,Family Affair,2001,"pop, R&B",4.43,76,0.911,0.969
Faithless,We Come 1 - Radio Edit,2015,"pop, Dance/Electronic",3.71,53,0.645,0.61
Limp Bizkit,Rollin' (Air Raid Vehicle),2000,metal,3.56,73,0.603,0.709
Lasgo,Something,2001,pop,3.68,65,0.643,0.38
iio,Rapture (feat.Nadia Ali),2006,Dance/Electronic,4.23,54,0.661,0.601
Emma Bunton,What Took You So Long?,2001,pop,4.02,54,0.668,0.911
112,It's Over Now,2001,"hip hop, pop, R&B",4.42,57,0.66,0.233
Blue,All Rise,2001,pop,3.73,63,0.721,0.931
Jessica Simpson,Irresistible,2001,"pop, R&B",3.23,43,0.657,0.669
Michael Jackson,You Rock My World,2001,"pop, R&B",5.63,64,0.854,0.955
Eve,Let Me Blow Ya Mind,2001,"hip hop, pop, R&B",3.84,73,0.908,0.897
Jennifer Lopez,Ain't It Funny,2001,"hip hop, pop, R&B",4.1,0,0.707,0.621
Brandy,Another Day in Paradise - R&B-Version,2002,"hip hop, pop, R&B",4.53,50,0.7,0.556
Nickelback,How You Remind Me,2001,"rock, metal",3.73,78,0.446,0.543
Daft Punk,One More Time,2001,"hip hop, Dance/Electronic",5.34,76,0.613,0.476
Outkast,Ms. Jackson,2000,"hip hop, pop",4.51,82,0.843,0.613
Fragma,Everytime You Need Me - Radio Version,2001,"pop, Dance/Electronic",3.56,50,0.682,0.79
Mariah Carey,Loverboy,2001,"pop, R&B",3.82,42,0.721,0.821
Joe,Stutter (feat. Mystikal) - Double Take Remix,2000,"pop, R&B",3.55,57,0.767,0.677
P.O.D.,Youth of the Nation,2001,"rock, metal",4.27,69,0.563,0.517
Jennifer Lopez,Play,2001,"hip hop, pop, R&B",3.52,57,0.775,0.895
Missy Elliott,Get Ur Freak On,2001,"hip hop, pop, R&B",3.52,68,0.797,0.74
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),2008,"pop, latin",4.21,52,0.635,0.59
Christina Milian,AM To PM,2001,"hip hop, pop, R&B",3.85,60,0.872,0.822
Roger Sanchez,Another Chance,2000,Dance/Electronic,7.55,50,0.61,0.45
Gorillaz,Clint Eastwood,2001,hip hop,5.68,74,0.663,0.525
2Pac,Until The End Of Time,2001,hip hop,4.44,57,0.757,0.375
Tamia,Stranger in My House,2000,"pop, R&B",4.76,48,0.676,0.206
