Artist,Song,Year,Genre,Duration_mins,Popularity,Danceability,Valence
3 Doors Down,When I'm Gone,2002,"pop, rock, metal",4.34,67,0.53,0.374
Tyrese,How You Gonna Act Like That,2002,"hip hop, pop, R&B",4.91,60,0.733,0.525
Justin Timberlake,Cry Me a River,2002,pop,4.81,73,0.624,0.564
Westlife,Mandy,2003,pop,3.32,57,0.447,0.376
No Doubt,It's My Life,2003,"rock, pop",3.77,60,0.612,0.783
Amanda Perez,Angel,2003,"pop, R&B",3.65,48,0.638,0.352
JAY-Z,Excuse Me Miss,2002,hip hop,4.69,56,0.714,0.887
Kelly Rowland,Stole,2002,"hip hop, pop, R&B",4.15,54,0.649,0.477
Ashanti,Rock Wit U (Awww Baby),2003,"hip hop, pop, R&B",3.49,65,0.71,0.849
Junior Senior,Move Your Feet,2002,pop,3.03,67,0.747,0.846
Audioslave,Like a Stone,2002,"rock, metal",4.9,75,0.614,0.516
Sean Paul,Like Glue,2002,"hip hop, pop",3.88,61,0.757,0.59
Jaheim,Put That Woman First,2002,"pop, R&B",4.1,55,0.649,0.513
Jennifer Lopez,All I Have (feat. LL Cool J),2002,"hip hop, pop, R&B",4.24,60,0.701,0.446
Monica,So Gone,2003,"pop, R&B",4.05,64,0.618,0.586
Dido,White Flag,2003,pop,4.0,44,0.512,0.294
The Roots,The Seed (2.0),2002,hip hop,4.47,63,0.758,0.966
Chingy,Holidae In,2003,"hip hop, pop, R&B",5.24,61,0.81,0.948
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),2003,"hip hop, pop, R&B",3.73,61,0.646,0.811
Kelly Clarkson,Miss Independent,2003,"pop, R&B",3.58,47,0.656,0.592
Ja Rule,Mesmerize,2002,"hip hop, pop, R&B",4.64,61,0.769,0.433
Matchbox Twenty,Unwell,2002,"pop, rock",3.81,63,0.256,0.429
Outkast,The Way You Move (feat. Sleepy Brown),2003,"hip hop, pop",3.9,66,0.871,0.635
Fabolous,Into You (feat. Tamia),2003,"hip hop, pop, R&B",4.93,67,0.546,0.58
Switchfoot,Meant to Live,2003,"rock, pop",3.36,61,0.397,0.556
Good Charlotte,Lifestyles of the Rich & Famous,2002,"rock, metal",3.17,68,0.62,0.609
Wayne Wonder,No Letting Go,2003,"hip hop, R&B",3.37,63,0.496,0.317
The Strokes,Reptilia,2003,rock,3.66,74,0.489,0.77
Avril Lavigne,I'm with You,2002,pop,3.72,70,0.457,0.208
Will Young,Leave Right Now,2003,pop,3.58,55,0.641,0.383
Usher,Yeah! (feat. Lil Jon & Ludacris),2004,"hip hop, pop, R&B",4.17,81,0.894,0.583
Maroon 5,This Love,2002,pop,3.44,77,0.712,0.809
Britney Spears,Toxic,2003,pop,3.31,81,0.774,0.924
Outkast,Hey Ya!,2003,"hip hop, pop",3.92,80,0.727,0.965
Hoobastank,The Reason,2003,"pop, rock, metal",3.88,79,0.472,0.0681
Anastacia,Left Outside Alone,2004,pop,4.29,65,0.663,0.325
Daddy Yankee,Gasolina,2004,latin,3.21,11,0.857,0.753
Black Eyed Peas,Let's Get It Started - Spike Mix,2004,"hip hop, pop",3.63,53,0.785,0.797
O-Zone,Dragostea Din Tei,2004,pop,3.59,56,0.809,0.672
Terror Squad,Lean Back,2004,hip hop,4.12,67,0.783,0.695
Gwen Stefani,What You Waiting For?,2004,"pop, R&B",3.69,60,0.676,0.731
Ashanti,Only U - No Intro,2004,"hip hop, pop, R&B",3.11,56,0.601,0.278
The Rasmus,In the Shadows,2003,metal,4.3,68,0.6,0.75
Houston,I Like That,2004,"hip hop, pop",3.94,59,0.797,0.385
Beyoncé,Naughty Girl,2003,"pop, R&B",3.48,63,0.735,0.643
Linkin Park,Numb,2003,"rock, metal",3.09,81,0.496,0.243
Lloyd Banks,On Fire,2004,"hip hop, pop",3.12,61,0.759,0.429
Akon,Locked Up,2004,pop,3.92,16,0.818,0.354
D12,My Band,2004,"hip hop, pop, rock",4.98,73,0.851,0.844
Jay Sean,Eyes On You - Radio Mix,2004,"hip hop, pop, R&B",3.17,42,0.802,0.619
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,2016,pop,4.29,66,0.833,0.4
Destiny's Child,Lose My Breath,2004,"pop, R&B",4.03,61,0.814,0.545
Eric Prydz,Call on Me - Radio Mix,2004,"pop, Dance/Electronic",2.86,72,0.597,0.447
Ciara,Goodies (feat. Petey Pablo),2004,"pop, R&B",3.72,67,0.826,0.872
Kelis,Trick Me,2003,"pop, R&B, Dance/Electronic",3.44,63,0.97,0.962
LL Cool J,Headsprung,2004,"hip hop, pop, R&B",4.46,56,0.718,0.465
Spiderbait,Black Betty - Edit,2004,rock,3.43,63,0.562,0.35
George Michael,Amazing,2004,set(),4.43,57,0.805,0.88
Britney Spears,My Prerogative,2004,pop,3.56,53,0.749,0.619
Nina Sky,Move Ya Body,2004,"pop, R&B",3.87,67,0.87,0.877
Petey Pablo,Freek-A-Leek,2003,"hip hop, pop",3.92,56,0.737,0.662
JAY-Z,Dirt Off Your Shoulder,2003,hip hop,4.09,53,0.779,0.645
Juanes,La Camisa Negra,2004,"pop, latin",3.61,70,0.751,0.973
Avril Lavigne,Nobody's Home,2004,pop,3.54,61,0.348,0.177
Robbie Williams,Radio,2004,"pop, rock",3.89,33,0.607,0.846
Black Eyed Peas,Hey Mama,2003,"hip hop, pop",3.58,49,0.86,0.933
Ying Yang Twins,Salt Shaker,2003,"hip hop, pop",4.21,61,0.884,0.322
Enrique Iglesias,Not In Love - Radio Mix,2003,"pop, latin",3.72,37,0.762,0.886
Kelis,Milkshake,2003,"pop, R&B, Dance/Electronic",3.04,68,0.881,0.759
Linkin Park,Breaking the Habit,2003,"rock, metal",3.28,68,0.579,0.581
JoJo,Leave (Get Out) - Radio Edit,2005,"hip hop, pop, R&B",4.05,49,0.656,0.464
Christina Milian,Dip It Low,2004,"hip hop, pop, R&B",3.29,45,0.752,0.612
Avant,Read Your Mind,2003,"pop, R&B",4.39,56,0.755,0.695
Eminem,Just Lose It,2004,hip hop,4.14,67,0.94,0.962
Snoop Dogg,Drop It Like It's Hot,2004,"hip hop, pop",4.43,39,0.892,0.676
Sean Paul,I'm Still in Love with You (feat. Sasha),2002,"hip hop, pop",4.56,68,0.765,0.756
The Shapeshifters,Lola's Theme - Radio Edit,2004,Dance/Electronic,3.45,65,0.748,0.659
D12,How Come,2004,"hip hop, pop, rock",4.16,57,0.745,0.547
Basement Jaxx,Good Luck,2003,"pop, Dance/Electronic",4.71,0,0.571,0.313
Kevin Lyttle,Turn Me On,2004,hip hop,3.2,67,0.677,0.875
Chingy,One Call Away,2003,"hip hop, pop, R&B",4.61,61,0.765,0.962
T.I.,Bring Em Out,2004,"hip hop, pop",3.61,63,0.759,0.587
DJ Casper,Cha Cha Slide - Hardino Mix,2004,set(),3.7,51,0.853,0.802
Kylie Minogue,I Believe in You,2004,"pop, Dance/Electronic",3.35,47,0.548,0.418
Twista,Overnight Celebrity,2004,"hip hop, pop, R&B",3.89,66,0.828,0.777
N.E.R.D,She Wants To Move,2004,hip hop,3.56,57,0.766,0.8
Britney Spears,Everytime,2003,pop,3.84,63,0.398,0.114
U2,Vertigo,2004,"World/Traditional, rock",3.23,64,0.416,0.632
Franz Ferdinand,Take Me Out,2004,rock,3.95,77,0.277,0.527
J-Kwon,Tipsy - Club Mix,2001,"hip hop, pop",4.12,59,0.925,0.654
G-Unit,Wanna Get To Know You,2003,"hip hop, pop",4.42,61,0.513,0.889
Lil' Flip,Sunshine (feat. Lea),2004,"hip hop, pop",3.75,42,0.814,0.792
Kanye West,Jesus Walks,2004,hip hop,3.23,73,0.637,0.715
Evanescence,My Immortal,2003,metal,4.38,72,0.19,0.101
Nelly,My Place,2004,"hip hop, pop, R&B",5.61,57,0.6,0.642
Lemar,If There's Any Justice,2004,R&B,3.82,46,0.706,0.639
Avril Lavigne,Don't Tell Me,2004,pop,3.37,58,0.523,0.484
Twista,Slow Jamz,2004,"hip hop, pop, R&B",5.27,72,0.559,0.611
Green Day,American Idiot,2004,rock,2.94,77,0.38,0.769
Kelis,Millionaire,2003,"pop, R&B, Dance/Electronic",3.75,57,0.68,0.75
Scissor Sisters,Comfortably Numb,2004,"pop, rock, Dance/Electronic",4.43,43,0.803,0.788
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),2003,"pop, R&B",4.74,55,0.663,0.279
Kanye West,Through The Wire,2004,hip hop,3.69,76,0.571,0.66
Special D.,Come With Me - Radio Edit,2004,pop,3.09,61,0.739,0.501
Ludacris,Splash Waterfalls,2003,"hip hop, pop",4.85,48,0.734,0.702
Avril Lavigne,My Happy Ending,2004,pop,4.04,68,0.414,0.74
Eamon,Fuck It (I Don't Want You Back),2004,set(),3.75,64,0.828,0.575
Beyoncé,"Me, Myself and I",2003,"pop, R&B",5.02,62,0.75,0.536
3 Doors Down,Here Without You,2002,"pop, rock, metal",3.98,74,0.557,0.233
Kanye West,All Falls Down,2004,hip hop,3.73,80,0.657,0.434
Twista,Sunshine (feat. Anthony Hamilton),2004,"hip hop, pop, R&B",3.77,56,0.926,0.819
Katie Melua,The Closest Thing to Crazy,2003,"pop, easy listening, jazz",4.21,55,0.562,0.106
Usher,My Boo,2004,"hip hop, pop, R&B",3.72,76,0.662,0.676
Lloyd,Southside,2004,"hip hop, pop, R&B",4.63,59,0.688,0.448
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,2004,Dance/Electronic,2.86,59,0.668,0.667
The Streets,Fit but You Know It,2004,"hip hop, Dance/Electronic",4.24,58,0.68,0.895
JUVENILE,Slow Motion,2003,"hip hop, pop",4.14,64,0.713,0.89
Girls Aloud,Love Machine,2004,"pop, Dance/Electronic",3.42,59,0.663,0.697
Jessica Simpson,With You,2003,"pop, R&B",3.2,57,0.553,0.605
Eminem,Like Toy Soldiers,2004,hip hop,4.95,48,0.52,0.398
Gary Jules,Mad World (Feat. Michael Andrews),2001,pop,3.16,65,0.345,0.304
Ashlee Simpson,Pieces Of Me,2004,pop,3.62,56,0.505,0.772
Alicia Keys,You Don't Know My Name,2003,"pop, R&B",6.11,61,0.264,0.249
Mariah Carey,We Belong Together,2005,"pop, R&B",3.36,69,0.84,0.767
Mario,Let Me Love You,2004,"pop, R&B",4.28,72,0.656,0.556
Kanye West,Gold Digger,2005,hip hop,3.46,78,0.629,0.623
Rihanna,Pon de Replay,2005,"hip hop, pop, R&B",4.12,77,0.779,0.498
50 Cent,Candy Shop,2005,"hip hop, pop",3.49,79,0.614,0.755
James Blunt,You're Beautiful,2005,pop,3.49,75,0.675,0.454
Green Day,Boulevard of Broken Dreams,2004,rock,4.35,72,0.49,0.506
The Pussycat Dolls,Don't Cha,2005,"pop, R&B",4.53,72,0.875,0.549
Daniel Powter,Bad Day,2005,pop,3.89,74,0.599,0.52
Akon,Bananza (Belly Dancer),2004,pop,3.97,28,0.878,0.666
Madonna,Hung Up,2005,pop,5.63,74,0.649,0.405
50 Cent,Just A Lil Bit,2005,"hip hop, pop",3.96,76,0.489,0.527
Crazy Frog,Axel F,2005,pop,2.81,67,0.86,0.786
Eminem,Ass Like That,2004,hip hop,4.42,52,0.646,0.676
Sean Paul,We Be Burnin',2005,"hip hop, pop",3.55,59,0.95,0.86
Gwen Stefani,Rich Girl,2004,"pop, R&B",3.94,68,0.856,0.722
The Chemical Brothers,Galvanize,2005,Dance/Electronic,6.56,63,0.745,0.365
Fort Minor,Remember the Name (feat. Styles of Beyond),2005,"hip hop, pop, rock",3.84,73,0.688,0.88
50 Cent,Disco Inferno,2005,"hip hop, pop",3.57,72,0.925,0.71
The Game,How We Do,2005,"hip hop, pop",3.93,74,0.862,0.637
Chris Brown,Run It! (feat. Juelz Santana),2005,"hip hop, pop, R&B",3.83,71,0.846,0.212
Mariah Carey,It's Like That,2005,"pop, R&B",3.39,0,0.8,0.836
Black Eyed Peas,My Humps,2005,"hip hop, pop",5.45,67,0.802,0.586
Ciara,Oh (feat. Ludacris),2004,"pop, R&B",4.27,61,0.8,0.357
50 Cent,Outta Control - Remix,2005,"hip hop, pop",4.13,60,0.772,0.557
Baby Bash,"Baby, I'm Back",2005,"hip hop, pop, R&B, latin",3.67,4,0.899,0.749
Jennifer Lopez,Get Right,2005,"hip hop, pop, R&B",3.76,65,0.741,0.362
JAY-Z,Numb / Encore,2004,hip hop,3.43,76,0.687,0.751
The Game,Hate It Or Love It,2005,"hip hop, pop",3.44,77,0.802,0.435
Gorillaz,Feel Good Inc.,2005,hip hop,3.71,82,0.818,0.772
Black Eyed Peas,Don't Phunk With My Heart,2005,"hip hop, pop",4.0,62,0.69,0.604
Akon,Lonely,2004,pop,3.93,21,0.629,0.619
Bodyrockers,I Like The Way - Radio Edit,2005,"rock, Dance/Electronic",3.33,54,0.642,0.777
Sugababes,Push The Button,2005,"pop, R&B",3.63,64,0.962,0.814
Jeezy,Soul Survivor,2005,"hip hop, pop",4.67,55,0.684,0.08
Eminem,Mockingbird,2004,hip hop,4.18,77,0.637,0.254
Shakira,La Tortura (feat. Alejandro Sanz),2005,"pop, latin",3.55,72,0.74,0.812
Gorillaz,DARE,2005,hip hop,4.08,73,0.76,0.966
Snoop Dogg,Signs,2004,"hip hop, pop",3.95,54,0.94,0.666
Robbie Williams,Tripping,2005,"pop, rock",4.61,58,0.666,0.828
David Banner,Play,2005,"hip hop, pop",3.84,52,0.837,0.586
Trillville,Some Cut,2004,"hip hop, pop",4.72,50,0.9,0.659
D4L,Laffy Taffy,2005,"hip hop, pop",3.74,63,0.891,0.622
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),2005,"hip hop, pop, R&B",3.78,67,0.904,0.81
Rob Thomas,Lonely No More,2005,"pop, Folk/Acoustic",3.78,56,0.551,0.858
Brian McFadden,Almost Here,2004,set(),3.83,42,0.561,0.316
Bobby V.,"Slow Down - 12"" Version",2005,"hip hop, pop, R&B",4.31,65,0.568,0.626
Backstreet Boys,Incomplete,2005,pop,3.99,63,0.437,0.165
Pretty Ricky,Grind With Me,2005,"hip hop, pop, R&B",3.96,63,0.7,0.189
Kanye West,Diamonds From Sierra Leone - Remix,2005,hip hop,3.89,61,0.672,0.379
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,2005,"hip hop, pop",3.52,41,0.905,0.52
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),2004,"pop, R&B",5.43,63,0.878,0.904
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",2005,"pop, R&B",3.37,52,0.939,0.801
Amerie,1 Thing,2008,"hip hop, pop, R&B",3.98,52,0.636,0.891
Ludacris,Get Back,2004,"hip hop, pop",4.51,59,0.555,0.184
Franz Ferdinand,Do You Want To,2005,rock,3.58,61,0.412,0.79
Natalie Imbruglia,Shiver,2005,"pop, Folk/Acoustic",3.71,52,0.489,0.309
Gwen Stefani,Hollaback Girl,2004,"pop, R&B",3.33,69,0.926,0.904
Pretty Ricky,Your Body,2005,"hip hop, pop, R&B",4.0,59,0.838,0.507
Thirty Seconds To Mars,The Kill,2005,rock,3.86,74,0.179,0.289
Alicia Keys,Karma,2003,"pop, R&B",4.27,50,0.727,0.687
2Pac,Ghetto Gospel,2004,hip hop,3.97,68,0.794,0.663
Craig David,Don't Love You No More (I'm Sorry),2005,"hip hop, pop, R&B",4.07,56,0.636,0.572
Katie Melua,Nine Million Bicycles,2005,"pop, easy listening, jazz",3.29,60,0.534,0.344
Lil Jon & The East Side Boyz,Lovers And Friends,2004,"hip hop, pop",4.34,66,0.675,0.532
Mariah Carey,Don't Forget About Us - Radio Edit,2005,"pop, R&B",3.9,0,0.7,0.386
Ying Yang Twins,Wait (The Whisper Song),2005,"hip hop, pop",2.99,57,0.933,0.595
Bow Wow,Like You (feat. Ciara),2005,"hip hop, pop, R&B",3.43,66,0.714,0.504
Kaiser Chiefs,Everyday I Love You Less And Less,2005,rock,3.63,58,0.49,0.577
Kelly Clarkson,Behind These Hazel Eyes,2004,"pop, R&B",3.32,59,0.548,0.425
Black Eyed Peas,Don't Lie,2005,"hip hop, pop",3.65,61,0.662,0.604
Westlife,You Raise Me Up,2005,pop,4.02,1,0.129,0.172
Ray J,One Wish,2005,"hip hop, pop, R&B",5.63,62,0.525,0.602
Papa Roach,Scars,2004,"rock, metal",3.47,60,0.455,0.484
Arctic Monkeys,I Bet You Look Good On The Dancefloor,2006,rock,2.89,71,0.535,0.778
Shayne Ward,That's My Goal,2006,pop,3.66,1,0.286,0.14
Bow Wow,Let Me Hold You (feat. Omarion),2005,"hip hop, pop, R&B",4.14,62,0.815,0.611
Kaiser Chiefs,I Predict A Riot,2005,rock,3.89,63,0.395,0.41
Usher,Caught Up,2004,"hip hop, pop, R&B",3.74,61,0.817,0.805
Kelly Clarkson,Because of You,2004,"pop, R&B",3.66,71,0.587,0.15
3 Doors Down,Let Me Go,2012,"pop, rock, metal",4.05,52,0.478,0.491
Nickelback,Photograph,2005,"rock, metal",4.32,67,0.515,0.385
T-Pain,I'm Sprung,2005,"hip hop, pop, R&B",3.85,0,0.722,0.166
Destiny's Child,Cater 2 U,2004,"pop, R&B",4.09,58,0.605,0.464
The Pussycat Dolls,Stickwitu,2005,"pop, R&B",3.46,67,0.548,0.382
Ryan Cabrera,True,2004,pop,3.4,62,0.598,0.369
Stereophonics,Dakota,2005,"rock, pop",4.96,69,0.506,0.305
Eminem,Like Toy Soldiers,2004,hip hop,4.95,67,0.52,0.398
Nelly,Over And Over,2004,"hip hop, pop, R&B",4.23,61,0.644,0.464
Coldplay,Speed of Sound,2005,"rock, pop",4.8,69,0.514,0.353
KT Tunstall,Suddenly I See,2005,"World/Traditional, pop, Folk/Acoustic",3.36,71,0.587,0.664
Destiny's Child,Girl,2004,"pop, R&B",3.74,55,0.567,0.556
Kelly Clarkson,Since U Been Gone,2004,"pop, R&B",3.15,71,0.662,0.382
U2,Sometimes You Can't Make It On Your Own,2004,"World/Traditional, rock",5.08,56,0.53,0.346
The All-American Rejects,Dirty Little Secret,2005,"rock, pop",3.23,65,0.469,0.462
Toby Keith,As Good As I Once Was,2005,country,3.8,67,0.68,0.646
Gwen Stefani,Cool,2004,"pop, R&B",3.16,59,0.709,0.801
Foo Fighters,Best of You,2005,"rock, metal",4.26,76,0.366,0.369
Shakira,Hips Don't Lie (feat. Wyclef Jean),2005,"pop, latin",3.63,82,0.778,0.758
Sean Paul,Temperature,2005,"hip hop, pop",3.64,78,0.951,0.822
Justin Timberlake,SexyBack (feat. Timbaland),2006,pop,4.05,78,0.967,0.964
Beyoncé,Irreplaceable,2007,"pop, R&B",3.8,70,0.447,0.509
Amy Winehouse,Rehab,2006,R&B,3.58,71,0.407,0.777
Rihanna,SOS,2006,"hip hop, pop, R&B",3.98,73,0.677,0.527
Gnarls Barkley,Crazy,2006,"hip hop, R&B",2.96,74,0.855,0.64
Busta Rhymes,Touch It,2006,"hip hop, pop",3.58,61,0.658,0.442
Nelly Furtado,Maneater,2006,"hip hop, pop, latin",4.31,79,0.796,0.787
Bob Sinclar,Rock This Party - Everybody Dance Now,2006,"pop, Dance/Electronic",4.09,69,0.893,0.902
Diddy,Come to Me (feat. Nicole Scherzinger),2006,"hip hop, pop",4.61,55,0.819,0.386
Madonna,Sorry,2005,pop,4.7,61,0.589,0.443
Chamillionaire,Ridin',2005,"hip hop, pop",5.05,71,0.787,0.835
Black Eyed Peas,Pump It,2005,"hip hop, pop",3.55,75,0.648,0.744
Nelly Furtado,Promiscuous,2006,"hip hop, pop, latin",4.04,82,0.808,0.868
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,2015,"pop, Dance/Electronic",2.51,39,0.814,0.518
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,2006,"hip hop, pop",4.06,58,0.711,0.718
The Pussycat Dolls,Buttons,2005,"pop, R&B",3.76,68,0.565,0.477
Ciara,Get Up (feat. Chamillionaire),2006,"pop, R&B",4.36,59,0.964,0.629
Eminem,Shake That,2005,hip hop,4.57,74,0.963,0.534
Cherish,Do It To It,2006,"hip hop, pop, R&B",3.77,65,0.826,0.794
Muse,Supermassive Black Hole,2006,rock,3.54,75,0.668,0.782
Chris Brown,Gimme That,2005,"hip hop, pop, R&B",3.11,63,0.678,0.444
Infernal,From Paris to Berlin,2004,pop,3.49,57,0.741,0.839
Cassie,Me & U,2006,"pop, R&B",3.2,73,0.803,0.739
E-40,U and Dat (feat. T. Pain & Kandi Girl),2006,"hip hop, pop",3.38,63,0.858,0.329
The Pussycat Dolls,Beep,2005,"pop, R&B",3.82,57,0.938,0.55
Lil Jon,Snap Yo Fingers,2006,"hip hop, pop",4.57,67,0.835,0.626
Armand Van Helden,My My My - Radio Edit,2006,"pop, Dance/Electronic",3.17,40,0.678,0.758
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",2005,hip hop,4.77,68,0.833,0.645
Yung Joc,It's Goin' Down (feat. Nitti),2006,"hip hop, pop",4.03,66,0.888,0.609
Shayne Ward,No Promises,2006,pop,3.72,1,0.5,0.182
Justin Timberlake,My Love (feat. T.I.),2006,pop,4.6,72,0.771,0.808
Nickelback,Savin' Me,2005,"rock, metal",3.66,65,0.441,0.522
Nelly,Grillz,2005,"hip hop, pop, R&B",4.52,60,0.867,0.84
Take That,Patience,2006,pop,3.37,64,0.309,0.372
Fergie,London Bridge,2006,"pop, R&B",4.02,57,0.769,0.633
Cascada,Everytime We Touch - Radio Edit,2011,"hip hop, pop, Dance/Electronic",3.32,0,0.64,0.493
LL Cool J,Control Myself,2006,"hip hop, pop, R&B",3.9,42,0.825,0.48
Beyoncé,Deja Vu (feat. Jay-Z),2007,"pop, R&B",4.0,57,0.644,0.355
P!nk,Stupid Girls,2006,pop,3.29,0,0.683,0.566
Eminem,When I'm Gone,2005,hip hop,4.69,68,0.618,0.75
Kelis,Bossy,2006,"pop, R&B, Dance/Electronic",4.57,50,0.906,0.779
Bob Sinclar,Love Generation - Radio Edit,2005,"pop, Dance/Electronic",3.46,49,0.715,0.554
Meck,Thunder in My Heart Again (Radio Edit),2005,set(),3.16,46,0.679,0.806
Mary J. Blige,Be Without You - Kendu Mix,2005,"pop, R&B",4.11,69,0.726,0.673
Girls Aloud,Something Kinda Ooooh,2012,"pop, Dance/Electronic",3.36,49,0.681,0.879
Rihanna,Unfaithful,2006,"hip hop, pop, R&B",3.78,70,0.588,0.349
Kanye West,Touch The Sky,2005,hip hop,3.94,73,0.552,0.554
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",2006,"hip hop, pop",3.83,60,0.886,0.6
Evanescence,Call Me When You're Sober,2006,metal,3.58,65,0.45,0.328
Chingy,Pullin' Me Back,2006,"hip hop, pop, R&B",3.9,62,0.786,0.587
Nickelback,Far Away,2005,"rock, metal",3.97,70,0.518,0.293
Fall Out Boy,"Dance, Dance",2005,rock,3.0,74,0.622,0.449
Leona Lewis,A Moment Like This,2007,"pop, R&B",4.29,57,0.261,0.167
T.I.,What You Know,2006,"hip hop, pop",4.57,64,0.551,0.332
Ludacris,Money Maker,2006,"hip hop, pop",3.84,62,0.551,0.612
Nick Lachey,What's Left Of Me,2006,pop,4.08,37,0.42,0.294
Jibbs,Chain Hang Low,2006,"hip hop, pop",3.46,56,0.792,0.778
Arctic Monkeys,When The Sun Goes Down,2006,rock,3.37,72,0.348,0.407
Rascal Flatts,Life is a Highway,2006,country,4.61,0,0.561,0.594
Beyoncé,Check On It (feat. Slim Thug),2006,"pop, R&B",3.52,45,0.7,0.883
Keyshia Cole,Love,2005,"hip hop, pop, R&B",4.26,72,0.688,0.318
Lily Allen,Smile,2006,pop,3.28,68,0.632,0.733
Ne-Yo,Sexy Love,2006,"pop, R&B",3.68,67,0.693,0.494
JoJo,Too Little Too Late,2006,"hip hop, pop, R&B",3.73,48,0.535,0.685
Mary J. Blige,One,2005,"pop, R&B",4.34,64,0.344,0.269
Bubba Sparxxx,Ms. New Booty,2005,"hip hop, pop, country",4.21,62,0.64,0.609
Amy Winehouse,You Know I'm No Good,2006,R&B,4.28,63,0.705,0.734
Rascal Flatts,What Hurts The Most,2006,country,3.57,69,0.537,0.33
Red Hot Chili Peppers,Dani California,2006,rock,4.7,76,0.556,0.73
Scissor Sisters,I Don't Feel Like Dancin',2006,"pop, rock, Dance/Electronic",4.81,63,0.707,0.845
Ne-Yo,So Sick,2006,"pop, R&B",3.45,75,0.452,0.58
Hinder,Lips Of An Angel,2019,"pop, rock, metal",4.35,35,0.474,0.238
The Raconteurs,"Steady, As She Goes",2006,rock,3.59,56,0.525,0.537
The Fratellis,Chelsea Dagger,2006,rock,3.59,68,0.511,0.586
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),2005,"hip hop, pop, rock",3.86,42,0.684,0.25
Panic! At The Disco,I Write Sins Not Tragedies,2005,rock,3.09,70,0.566,0.672
James Blunt,Goodbye My Lover,2005,pop,4.31,67,0.432,0.273
Christina Aguilera,Ain't No Other Man,2006,pop,3.82,63,0.862,0.511
Westlife,The Rose,2006,pop,3.65,0,0.272,0.172
Keane,Is It Any Wonder?,2006,pop,3.1,59,0.489,0.816
Orson,No Tomorrow,2006,pop,2.79,46,0.656,0.735
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),2005,"hip hop, pop, R&B",4.42,0,0.731,0.512
KT Tunstall,Black Horse And The Cherry Tree,2005,"World/Traditional, pop, Folk/Acoustic",2.87,64,0.748,0.917
Natasha Bedingfield,Unwritten,2004,pop,4.32,2,0.706,0.629
Razorlight,America,2006,"rock, pop",4.16,67,0.447,0.149
James Morrison,You Give Me Something,2006,"pop, R&B",3.55,64,0.559,0.578
Snow Patrol,You're All I Have,2006,"World/Traditional, rock, pop",4.56,35,0.467,0.501
The Fray,How to Save a Life,2005,pop,4.38,79,0.64,0.361
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),2006,"World/Traditional, pop",2.53,61,0.7,0.719
My Chemical Romance,Welcome to the Black Parade,2006,rock,5.19,76,0.217,0.236
Razorlight,In The Morning,2006,"rock, pop",3.71,59,0.616,0.686
James Morrison,Wonderful World,2006,"pop, R&B",3.5,49,0.474,0.591
Chris Brown,Yo (Excuse Me Miss),2005,"hip hop, pop, R&B",3.82,69,0.536,0.57
P!nk,Who Knew,2006,pop,3.47,0,0.688,0.46
The Kooks,Naive,2006,rock,3.39,73,0.391,0.737
Leona Lewis,Bleeding Love,2007,"pop, R&B",4.37,75,0.638,0.225
Rihanna,Umbrella,2008,"hip hop, pop, R&B",4.6,81,0.583,0.575
Britney Spears,Gimme More,2007,pop,4.19,79,0.788,0.382
Fergie,Big Girls Don't Cry (Personal),2006,"pop, R&B",4.47,76,0.708,0.253
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,2007,pop,3.66,0,0.698,0.896
Plain White T's,Hey There Delilah,2005,pop,3.88,78,0.656,0.298
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),2006,pop,7.48,70,0.687,0.432
Gwen Stefani,The Sweet Escape,2006,"pop, R&B",4.11,71,0.756,0.73
Timbaland,The Way I Are,2007,"hip hop, pop, R&B",2.99,80,0.731,0.765
Nelly Furtado,Say It Right,2006,"hip hop, pop, latin",3.72,81,0.872,0.809
Ida Corr,Let Me Think About It,2012,set(),2.53,43,0.762,0.715
Alex Gaudino,Destination Calabria - Radio Edit,2007,Dance/Electronic,3.72,73,0.627,0.312
September,Cry for You,2007,"pop, Dance/Electronic",3.5,65,0.767,0.961
Akon,Smack That,2006,pop,3.54,58,0.94,0.932
Timbaland,Give It To Me,2007,"hip hop, pop, R&B",3.9,70,0.975,0.815
50 Cent,Ayo Technology,2007,"hip hop, pop",4.13,67,0.63,0.418
